,Entity,Code,Year,Forest area,Continent
10,Afghanistan,AFG,2000,1208440.0,AS
11,Afghanistan,AFG,2001,1208440.0,AS
12,Afghanistan,AFG,2002,1208440.0,AS
13,Afghanistan,AFG,2003,1208440.0,AS
14,Afghanistan,AFG,2004,1208440.0,AS
15,Afghanistan,AFG,2005,1208440.0,AS
16,Afghanistan,AFG,2006,1208440.0,AS
17,Afghanistan,AFG,2007,1208440.0,AS
18,Afghanistan,AFG,2008,1208440.0,AS
19,Afghanistan,AFG,2009,1208440.0,AS
20,Afghanistan,AFG,2010,1208440.0,AS
21,Afghanistan,AFG,2011,1208440.0,AS
22,Afghanistan,AFG,2012,1208440.0,AS
23,Afghanistan,AFG,2013,1208440.0,AS
24,Afghanistan,AFG,2014,1208440.0,AS
25,Afghanistan,AFG,2015,1208440.0,AS
26,Afghanistan,AFG,2016,1208440.0,AS
27,Afghanistan,AFG,2017,1208440.0,AS
28,Afghanistan,AFG,2018,1208440.0,AS
29,Afghanistan,AFG,2019,1208440.0,AS
30,Afghanistan,AFG,2020,1208440.0,AS
349,Armenia,ARM,2000,332640.0,AS
350,Armenia,ARM,2001,332431.99999999994,AS
351,Armenia,ARM,2002,332224.0,AS
352,Armenia,ARM,2003,332015.99999999994,AS
353,Armenia,ARM,2004,331808.00000000006,AS
354,Armenia,ARM,2005,331600.0,AS
355,Armenia,ARM,2006,331392.0,AS
356,Armenia,ARM,2007,331184.0,AS
357,Armenia,ARM,2008,330976.0,AS
358,Armenia,ARM,2009,330768.0,AS
359,Armenia,ARM,2010,330560.0,AS
360,Armenia,ARM,2011,330352.0,AS
361,Armenia,ARM,2012,330144.0,AS
362,Armenia,ARM,2013,329936.0,AS
363,Armenia,ARM,2014,329728.0,AS
364,Armenia,ARM,2015,329520.0,AS
365,Armenia,ARM,2016,329310.0,AS
366,Armenia,ARM,2017,329100.0,AS
367,Armenia,ARM,2018,328890.0,AS
368,Armenia,ARM,2019,328680.0,AS
369,Armenia,ARM,2020,328470.0,AS
502,Azerbaijan,AZE,2000,987220.0,AS
503,Azerbaijan,AZE,2001,991747.5,AS
504,Azerbaijan,AZE,2002,996274.9,AS
505,Azerbaijan,AZE,2003,1000802.4,AS
506,Azerbaijan,AZE,2004,1005329.8,AS
507,Azerbaijan,AZE,2005,1009857.3,AS
508,Azerbaijan,AZE,2006,1014384.8,AS
509,Azerbaijan,AZE,2007,1018912.2,AS
510,Azerbaijan,AZE,2008,1023439.7,AS
511,Azerbaijan,AZE,2009,1027967.1,AS
512,Azerbaijan,AZE,2010,1032494.6,AS
513,Azerbaijan,AZE,2011,1041573.1,AS
514,Azerbaijan,AZE,2012,1050651.5,AS
515,Azerbaijan,AZE,2013,1059730.0,AS
516,Azerbaijan,AZE,2014,1068808.5,AS
517,Azerbaijan,AZE,2015,1077887.0,AS
518,Azerbaijan,AZE,2016,1088663.6,AS
519,Azerbaijan,AZE,2017,1099440.2,AS
520,Azerbaijan,AZE,2018,1110216.7999999998,AS
521,Azerbaijan,AZE,2019,1120993.4,AS
522,Azerbaijan,AZE,2020,1131770.0,AS
564,Bahrain,BHR,2000,370.0,AS
565,Bahrain,BHR,2001,385.0,AS
566,Bahrain,BHR,2002,400.0,AS
567,Bahrain,BHR,2003,415.0,AS
568,Bahrain,BHR,2004,430.0,AS
569,Bahrain,BHR,2005,445.0,AS
570,Bahrain,BHR,2006,460.0,AS
571,Bahrain,BHR,2007,475.0,AS
572,Bahrain,BHR,2008,490.0,AS
573,Bahrain,BHR,2009,505.0,AS
574,Bahrain,BHR,2010,520.0,AS
575,Bahrain,BHR,2011,536.0,AS
576,Bahrain,BHR,2012,552.0,AS
