,Entity,Code,Year,Forest area,Continent
258,Anguilla,AIA,2000,5500.0,AMER
259,Anguilla,AIA,2001,5500.0,AMER
260,Anguilla,AIA,2002,5500.0,AMER
261,Anguilla,AIA,2003,5500.0,AMER
262,Anguilla,AIA,2004,5500.0,AMER
263,Anguilla,AIA,2005,5500.0,AMER
264,Anguilla,AIA,2006,5500.0,AMER
265,Anguilla,AIA,2007,5500.0,AMER
266,Anguilla,AIA,2008,5500.0,AMER
267,Anguilla,AIA,2009,5500.0,AMER
268,Anguilla,AIA,2010,5500.0,AMER
269,Anguilla,AIA,2011,5500.0,AMER
270,Anguilla,AIA,2012,5500.0,AMER
271,Anguilla,AIA,2013,5500.0,AMER
272,Anguilla,AIA,2014,5500.0,AMER
273,Anguilla,AIA,2015,5500.0,AMER
274,Anguilla,AIA,2016,5500.0,AMER
275,Anguilla,AIA,2017,5500.0,AMER
276,Anguilla,AIA,2018,5500.0,AMER
277,Anguilla,AIA,2019,5500.0,AMER
278,Anguilla,AIA,2020,5500.0,AMER
289,Antigua and Barbuda,ATG,2000,9450.0,AMER
290,Antigua and Barbuda,ATG,2001,9383.0,AMER
291,Antigua and Barbuda,ATG,2002,9316.0,AMER
292,Antigua and Barbuda,ATG,2003,9249.0,AMER
293,Antigua and Barbuda,ATG,2004,9182.0,AMER
294,Antigua and Barbuda,ATG,2005,9115.0,AMER
295,Antigua and Barbuda,ATG,2006,9048.0,AMER
296,Antigua and Barbuda,ATG,2007,8981.0,AMER
297,Antigua and Barbuda,ATG,2008,8914.0,AMER
298,Antigua and Barbuda,ATG,2009,8847.000000000002,AMER
299,Antigua and Barbuda,ATG,2010,8780.0,AMER
300,Antigua and Barbuda,ATG,2011,8714.0,AMER
301,Antigua and Barbuda,ATG,2012,8648.0,AMER
302,Antigua and Barbuda,ATG,2013,8582.0,AMER
303,Antigua and Barbuda,ATG,2014,8516.0,AMER
304,Antigua and Barbuda,ATG,2015,8450.0,AMER
305,Antigua and Barbuda,ATG,2016,8384.0,AMER
306,Antigua and Barbuda,ATG,2017,8318.0,AMER
307,Antigua and Barbuda,ATG,2018,8252.0,AMER
308,Antigua and Barbuda,ATG,2019,8186.0,AMER
309,Antigua and Barbuda,ATG,2020,8119.999999999999,AMER
320,Argentina,ARG,2000,33378000.0,AMER
321,Argentina,ARG,2001,33061600.0,AMER
322,Argentina,ARG,2002,32745200.0,AMER
323,Argentina,ARG,2003,32428800.0,AMER
324,Argentina,ARG,2004,32112400.0,AMER
325,Argentina,ARG,2005,31796000.0,AMER
326,Argentina,ARG,2006,31479600.0,AMER
327,Argentina,ARG,2007,31163200.0,AMER
328,Argentina,ARG,2008,30846800.0,AMER
329,Argentina,ARG,2009,30530400.0,AMER
330,Argentina,ARG,2010,30214000.0,AMER
331,Argentina,ARG,2011,29990600.0,AMER
332,Argentina,ARG,2012,29767200.0,AMER
333,Argentina,ARG,2013,29543800.0,AMER
334,Argentina,ARG,2014,29320400.0,AMER
335,Argentina,ARG,2015,29097000.0,AMER
336,Argentina,ARG,2016,28992200.0,AMER
337,Argentina,ARG,2017,28887400.0,AMER
338,Argentina,ARG,2018,28782600.0,AMER
339,Argentina,ARG,2019,28677800.0,AMER
340,Argentina,ARG,2020,28573000.0,AMER
533,Bahamas,BHS,2000,509860.0,AMER
534,Bahamas,BHS,2001,509860.0,AMER
535,Bahamas,BHS,2002,509860.0,AMER
536,Bahamas,BHS,2003,509860.0,AMER
537,Bahamas,BHS,2004,509860.0,AMER
538,Bahamas,BHS,2005,509860.0,AMER
539,Bahamas,BHS,2006,509860.0,AMER
540,Bahamas,BHS,2007,509860.0,AMER
541,Bahamas,BHS,2008,509860.0,AMER
542,Bahamas,BHS,2009,509860.0,AMER
543,Bahamas,BHS,2010,509860.0,AMER
544,Bahamas,BHS,2011,509860.0,AMER
545,Bahamas,BHS,2012,509860.0,AMER
546,Bahamas,BHS,2013,509860.0,AMER
547,Bahamas,BHS,2014,509860.0,AMER
548,Bahamas,BHS,2015,509860.0,AMER
549,Bahamas,BHS,2016,509860.0,AMER
550,Bahamas,BHS,2017,509860.0,AMER
551,Bahamas,BHS,2018,509860.0,AMER
552,Bahamas,BHS,2019,509860.0,AMER
553,Bahamas,BHS,2020,509860.0,AMER
626,Barbados,BRB,2000,6300.0,AMER
627,Barbados,BRB,2001,6300.0,AMER
628,Barbados,BRB,2002,6300.0,AMER
629,Barbados,BRB,2003,6300.0,AMER
630,Barbados,BRB,2004,6300.0,AMER
631,Barbados,BRB,2005,6300.0,AMER
632,Barbados,BRB,2006,6300.0,AMER
633,Barbados,BRB,2007,6300.0,AMER
634,Barbados,BRB,2008,6300.0,AMER
635,Barbados,BRB,2009,6300.0,AMER
636,Barbados,BRB,2010,6300.0,AMER
637,Barbados,BRB,2011,6300.0,AMER
638,Barbados,BRB,2012,6300.0,AMER
639,Barbados,BRB,2013,6300.0,AMER
640,Barbados,BRB,2014,6300.0,AMER
641,Barbados,BRB,2015,6300.0,AMER
642,Barbados,BRB,2016,6300.0,AMER
643,Barbados,BRB,2017,6300.0,AMER
644,Barbados,BRB,2018,6300.0,AMER
645,Barbados,BRB,2019,6300.0,AMER
646,Barbados,BRB,2020,6300.0,AMER
707,Belize,BLZ,2000,1459300.0,AMER
708,Belize,BLZ,2001,1452509.0,AMER
709,Belize,BLZ,2002,1445717.9999999998,AMER
710,Belize,BLZ,2003,1438927.0000000002,AMER
711,Belize,BLZ,2004,1432136.0,AMER
712,Belize,BLZ,2005,1425345.0,AMER
713,Belize,BLZ,2006,1418553.9999999998,AMER
714,Belize,BLZ,2007,1411763.0,AMER
715,Belize,BLZ,2008,1404972.0000000002,AMER
716,Belize,BLZ,2009,1398181.0,AMER
717,Belize,BLZ,2010,1391390.0,AMER
718,Belize,BLZ,2011,1379678.0,AMER
719,Belize,BLZ,2012,1367966.0000000002,AMER
720,Belize,BLZ,2013,1356254.0,AMER
721,Belize,BLZ,2014,1344542.0000000002,AMER
722,Belize,BLZ,2015,1332830.0,AMER
723,Belize,BLZ,2016,1321674.0,AMER
724,Belize,BLZ,2017,1310518.0,AMER
725,Belize,BLZ,2018,1299362.0,AMER
726,Belize,BLZ,2019,1288206.0000000002,AMER
727,Belize,BLZ,2020,1277050.0,AMER
769,Bermuda,BMU,2000,1000.0,AMER
770,Bermuda,BMU,2001,1000.0,AMER
771,Bermuda,BMU,2002,1000.0,AMER
772,Bermuda,BMU,2003,1000.0,AMER
773,Bermuda,BMU,2004,1000.0,AMER
774,Bermuda,BMU,2005,1000.0,AMER
775,Bermuda,BMU,2006,1000.0,AMER
776,Bermuda,BMU,2007,1000.0,AMER
777,Bermuda,BMU,2008,1000.0,AMER
778,Bermuda,BMU,2009,1000.0,AMER
779,Bermuda,BMU,2010,1000.0,AMER
780,Bermuda,BMU,2011,1000.0,AMER
781,Bermuda,BMU,2012,1000.0,AMER
782,Bermuda,BMU,2013,1000.0,AMER
783,Bermuda,BMU,2014,1000.0,AMER
784,Bermuda,BMU,2015,1000.0,AMER
785,Bermuda,BMU,2016,1000.0,AMER
786,Bermuda,BMU,2017,1000.0,AMER
787,Bermuda,BMU,2018,1000.0,AMER
788,Bermuda,BMU,2019,1000.0,AMER
789,Bermuda,BMU,2020,1000.0,AMER
831,Bolivia,BOL,2000,55101390.0,AMER
832,Bolivia,BOL,2001,54899852.0,AMER
833,Bolivia,BOL,2002,54698314.00000001,AMER
834,Bolivia,BOL,2003,54496776.0,AMER
835,Bolivia,BOL,2004,54295238.0,AMER
836,Bolivia,BOL,2005,54093700.0,AMER
837,Bolivia,BOL,2006,53892162.00000001,AMER
838,Bolivia,BOL,2007,53690624.0,AMER
839,Bolivia,BOL,2008,53489085.99999999,AMER
840,Bolivia,BOL,2009,53287547.99999999,AMER
841,Bolivia,BOL,2010,53086010.0,AMER
842,Bolivia,BOL,2011,52874252.0,AMER
843,Bolivia,BOL,2012,52662494.00000001,AMER
844,Bolivia,BOL,2013,52450736.0,AMER
845,Bolivia,BOL,2014,52238977.99999999,AMER
846,Bolivia,BOL,2015,52027220.0,AMER
847,Bolivia,BOL,2016,51788528.0,AMER
848,Bolivia,BOL,2017,51549835.99999999,AMER
849,Bolivia,BOL,2018,51311144.0,AMER
850,Bolivia,BOL,2019,51072452.00000001,AMER
851,Bolivia,BOL,2020,50833760.0,AMER
932,Brazil,BRA,2000,551088600.0,AMER
933,Brazil,BRA,2001,547137810.0,AMER
934,Brazil,BRA,2002,543187020.0,AMER
935,Brazil,BRA,2003,539236230.0,AMER
936,Brazil,BRA,2004,535285440.0,AMER
937,Brazil,BRA,2005,531334650.0,AMER
938,Brazil,BRA,2006,527383860.0,AMER
939,Brazil,BRA,2007,523433070.0,AMER
940,Brazil,BRA,2008,519482280.0,AMER
941,Brazil,BRA,2009,515531490.0,AMER
942,Brazil,BRA,2010,511580700.0,AMER
943,Brazil,BRA,2011,510041520.0,AMER
944,Brazil,BRA,2012,508502340.0,AMER
945,Brazil,BRA,2013,506963160.0,AMER
946,Brazil,BRA,2014,505423980.0,AMER
