,Entity,Code,Year,Forest area,Continent
72,Albania,ALB,2000,769300.0,EU
73,Albania,ALB,2001,770577.0,EU
74,Albania,ALB,2002,771853.9999999999,EU
75,Albania,ALB,2003,773131.0000000001,EU
76,Albania,ALB,2004,774408.0,EU
77,Albania,ALB,2005,775685.0,EU
78,Albania,ALB,2006,776962.0,EU
79,Albania,ALB,2007,778238.9999999999,EU
80,Albania,ALB,2008,779516.0000000001,EU
81,Albania,ALB,2009,780793.0,EU
82,Albania,ALB,2010,782070.0,EU
83,Albania,ALB,2011,783493.5,EU
84,Albania,ALB,2012,784916.9999999999,EU
85,Albania,ALB,2013,786340.5,EU
86,Albania,ALB,2014,787763.9999999999,EU
87,Albania,ALB,2015,789187.5,EU
88,Albania,ALB,2016,789130.0,EU
89,Albania,ALB,2017,789072.5,EU
90,Albania,ALB,2018,789015.0,EU
91,Albania,ALB,2019,788957.5,EU
92,Albania,ALB,2020,788900.0,EU
196,Andorra,AND,2000,16000.0,EU
197,Andorra,AND,2001,16000.0,EU
198,Andorra,AND,2002,16000.0,EU
199,Andorra,AND,2003,16000.0,EU
200,Andorra,AND,2004,16000.0,EU
201,Andorra,AND,2005,16000.0,EU
202,Andorra,AND,2006,16000.0,EU
203,Andorra,AND,2007,16000.0,EU
204,Andorra,AND,2008,16000.0,EU
205,Andorra,AND,2009,16000.0,EU
206,Andorra,AND,2010,16000.0,EU
207,Andorra,AND,2011,16000.0,EU
208,Andorra,AND,2012,16000.0,EU
209,Andorra,AND,2013,16000.0,EU
210,Andorra,AND,2014,16000.0,EU
211,Andorra,AND,2015,16000.0,EU
212,Andorra,AND,2016,16000.0,EU
213,Andorra,AND,2017,16000.0,EU
214,Andorra,AND,2018,16000.0,EU
215,Andorra,AND,2019,16000.0,EU
216,Andorra,AND,2020,16000.0,EU
349,Armenia,ARM,2000,332640.0,EU
350,Armenia,ARM,2001,332431.99999999994,EU
351,Armenia,ARM,2002,332224.0,EU
352,Armenia,ARM,2003,332015.99999999994,EU
353,Armenia,ARM,2004,331808.00000000006,EU
354,Armenia,ARM,2005,331600.0,EU
355,Armenia,ARM,2006,331392.0,EU
356,Armenia,ARM,2007,331184.0,EU
357,Armenia,ARM,2008,330976.0,EU
358,Armenia,ARM,2009,330768.0,EU
359,Armenia,ARM,2010,330560.0,EU
360,Armenia,ARM,2011,330352.0,EU
361,Armenia,ARM,2012,330144.0,EU
362,Armenia,ARM,2013,329936.0,EU
363,Armenia,ARM,2014,329728.0,EU
364,Armenia,ARM,2015,329520.0,EU
365,Armenia,ARM,2016,329310.0,EU
366,Armenia,ARM,2017,329100.0,EU
367,Armenia,ARM,2018,328890.0,EU
368,Armenia,ARM,2019,328680.0,EU
369,Armenia,ARM,2020,328470.0,EU
473,Austria,AUT,2000,3838140.0,EU
474,Austria,AUT,2001,3840646.0,EU
475,Austria,AUT,2002,3843152.0,EU
476,Austria,AUT,2003,3845658.0,EU
477,Austria,AUT,2004,3848164.0,EU
478,Austria,AUT,2005,3850670.0,EU
479,Austria,AUT,2006,3853176.0,EU
480,Austria,AUT,2007,3855682.000000001,EU
481,Austria,AUT,2008,3858188.0,EU
482,Austria,AUT,2009,3860694.000000001,EU
483,Austria,AUT,2010,3863200.0,EU
484,Austria,AUT,2011,3866798.0,EU
485,Austria,AUT,2012,3870396.0,EU
486,Austria,AUT,2013,3873994.0,EU
487,Austria,AUT,2014,3877592.0,EU
488,Austria,AUT,2015,3881190.0,EU
489,Austria,AUT,2016,3884782.0,EU
490,Austria,AUT,2017,3888374.000000001,EU
491,Austria,AUT,2018,3891966.0,EU
492,Austria,AUT,2019,3895558.0,EU
493,Austria,AUT,2020,3899150.0,EU
502,Azerbaijan,AZE,2000,987220.0,EU
503,Azerbaijan,AZE,2001,991747.5,EU
504,Azerbaijan,AZE,2002,996274.9,EU
505,Azerbaijan,AZE,2003,1000802.4,EU
506,Azerbaijan,AZE,2004,1005329.8,EU
507,Azerbaijan,AZE,2005,1009857.3,EU
508,Azerbaijan,AZE,2006,1014384.8,EU
509,Azerbaijan,AZE,2007,1018912.2,EU
510,Azerbaijan,AZE,2008,1023439.7,EU
511,Azerbaijan,AZE,2009,1027967.1,EU
512,Azerbaijan,AZE,2010,1032494.6,EU
513,Azerbaijan,AZE,2011,1041573.1,EU
514,Azerbaijan,AZE,2012,1050651.5,EU
515,Azerbaijan,AZE,2013,1059730.0,EU
516,Azerbaijan,AZE,2014,1068808.5,EU
517,Azerbaijan,AZE,2015,1077887.0,EU
518,Azerbaijan,AZE,2016,1088663.6,EU
519,Azerbaijan,AZE,2017,1099440.2,EU
520,Azerbaijan,AZE,2018,1110216.7999999998,EU
521,Azerbaijan,AZE,2019,1120993.4,EU
522,Azerbaijan,AZE,2020,1131770.0,EU
655,Belarus,BLR,2000,8273000.0,EU
656,Belarus,BLR,2001,8308700.000000001,EU
657,Belarus,BLR,2002,8344400.0,EU
658,Belarus,BLR,2003,8380100.0,EU
659,Belarus,BLR,2004,8415800.0,EU
660,Belarus,BLR,2005,8451500.0,EU
661,Belarus,BLR,2006,8487200.0,EU
662,Belarus,BLR,2007,8522900.0,EU
663,Belarus,BLR,2008,8558600.0,EU
664,Belarus,BLR,2009,8594300.0,EU
665,Belarus,BLR,2010,8630000.0,EU
666,Belarus,BLR,2011,8630700.0,EU
667,Belarus,BLR,2012,8631400.0,EU
668,Belarus,BLR,2013,8632100.0,EU
669,Belarus,BLR,2014,8632800.0,EU
670,Belarus,BLR,2015,8633500.0,EU
671,Belarus,BLR,2016,8660320.0,EU
672,Belarus,BLR,2017,8687140.0,EU
673,Belarus,BLR,2018,8713960.0,EU
674,Belarus,BLR,2019,8740780.0,EU
675,Belarus,BLR,2020,8767600.0,EU
676,Belgium,BEL,2000,667300.0,EU
677,Belgium,BEL,2001,669557.0,EU
678,Belgium,BEL,2002,671814.0,EU
679,Belgium,BEL,2003,674071.0,EU
680,Belgium,BEL,2004,676328.0,EU
681,Belgium,BEL,2005,678585.0,EU
682,Belgium,BEL,2006,680842.0,EU
683,Belgium,BEL,2007,683098.9999999999,EU
684,Belgium,BEL,2008,685356.0000000001,EU
685,Belgium,BEL,2009,687613.0,EU
686,Belgium,BEL,2010,689870.0,EU
687,Belgium,BEL,2011,689756.0000000001,EU
688,Belgium,BEL,2012,689641.9999999999,EU
689,Belgium,BEL,2013,689528.0,EU
690,Belgium,BEL,2014,689414.0,EU
691,Belgium,BEL,2015,689300.0,EU
692,Belgium,BEL,2016,689300.0,EU
693,Belgium,BEL,2017,689300.0,EU
694,Belgium,BEL,2018,689300.0,EU
695,Belgium,BEL,2019,689300.0,EU
696,Belgium,BEL,2020,689300.0,EU
870,Bosnia and Herzegovina,BIH,2000,2111650.0,EU
871,Bosnia and Herzegovina,BIH,2001,2110751.0,EU
872,Bosnia and Herzegovina,BIH,2002,2109852.0000000005,EU
873,Bosnia and Herzegovina,BIH,2003,2108953.0,EU
874,Bosnia and Herzegovina,BIH,2004,2108054.0,EU
875,Bosnia and Herzegovina,BIH,2005,2107155.0,EU
876,Bosnia and Herzegovina,BIH,2006,2106256.0,EU
877,Bosnia and Herzegovina,BIH,2007,2105357.0,EU
878,Bosnia and Herzegovina,BIH,2008,2104458.0,EU
