,Entity,Code,Year,Forest area,Continent
442,Australia,AUS,2000,131814100.0,OC
443,Australia,AUS,2001,131587300.0,OC
444,Australia,AUS,2002,131360500.0,OC
445,Australia,AUS,2003,131133700.0,OC
446,Australia,AUS,2004,130906900.0,OC
447,Australia,AUS,2005,130680100.0,OC
448,Australia,AUS,2006,130453300.0,OC
449,Australia,AUS,2007,130226500.0,OC
450,Australia,AUS,2008,129999700.0,OC
451,Australia,AUS,2009,129772900.0,OC
452,Australia,AUS,2010,129546100.0,OC
453,Australia,AUS,2011,130255780.0,OC
454,Australia,AUS,2012,130965460.0,OC
455,Australia,AUS,2013,131675140.0,OC
456,Australia,AUS,2014,132384820.0,OC
457,Australia,AUS,2015,133094500.0,OC
458,Australia,AUS,2016,133276620.0,OC
459,Australia,AUS,2017,133458740.0,OC
460,Australia,AUS,2018,133640860.0,OC
461,Australia,AUS,2019,133822980.0,OC
462,Australia,AUS,2020,134005100.0,OC
2436,Fiji,FJI,2000,1006470.0,OC
2437,Fiji,FJI,2001,1013147.0,OC
2438,Fiji,FJI,2002,1019824.0,OC
2439,Fiji,FJI,2003,1026501.0,OC
2440,Fiji,FJI,2004,1033178.0,OC
2441,Fiji,FJI,2005,1039855.0,OC
2442,Fiji,FJI,2006,1046532.0,OC
2443,Fiji,FJI,2007,1053208.9999999998,OC
2444,Fiji,FJI,2008,1059886.0,OC
2445,Fiji,FJI,2009,1066563.0,OC
2446,Fiji,FJI,2010,1073240.0,OC
2447,Fiji,FJI,2011,1079916.0000000002,OC
2448,Fiji,FJI,2012,1086591.9999999998,OC
2449,Fiji,FJI,2013,1093268.0,OC
2450,Fiji,FJI,2014,1099944.0,OC
2451,Fiji,FJI,2015,1106620.0,OC
2452,Fiji,FJI,2016,1113300.0,OC
2453,Fiji,FJI,2017,1119980.0,OC
2454,Fiji,FJI,2018,1126660.0,OC
2455,Fiji,FJI,2019,1133340.0,OC
2456,Fiji,FJI,2020,1140020.0,OC
3579,Kiribati,KIR,2000,1180.0,OC
3580,Kiribati,KIR,2001,1180.0,OC
3581,Kiribati,KIR,2002,1180.0,OC
3582,Kiribati,KIR,2003,1180.0,OC
3583,Kiribati,KIR,2004,1180.0,OC
3584,Kiribati,KIR,2005,1180.0,OC
3585,Kiribati,KIR,2006,1180.0,OC
3586,Kiribati,KIR,2007,1180.0,OC
3587,Kiribati,KIR,2008,1180.0,OC
3588,Kiribati,KIR,2009,1180.0,OC
3589,Kiribati,KIR,2010,1180.0,OC
3590,Kiribati,KIR,2011,1180.0,OC
3591,Kiribati,KIR,2012,1180.0,OC
3592,Kiribati,KIR,2013,1180.0,OC
3593,Kiribati,KIR,2014,1180.0,OC
3594,Kiribati,KIR,2015,1180.0,OC
3595,Kiribati,KIR,2016,1180.0,OC
3596,Kiribati,KIR,2017,1180.0,OC
3597,Kiribati,KIR,2018,1180.0,OC
3598,Kiribati,KIR,2019,1180.0,OC
3599,Kiribati,KIR,2020,1180.0,OC
4213,Marshall Islands,MHL,2000,9400.0,OC
4214,Marshall Islands,MHL,2001,9400.0,OC
4215,Marshall Islands,MHL,2002,9400.0,OC
4216,Marshall Islands,MHL,2003,9400.0,OC
4217,Marshall Islands,MHL,2004,9400.0,OC
4218,Marshall Islands,MHL,2005,9400.0,OC
4219,Marshall Islands,MHL,2006,9400.0,OC
4220,Marshall Islands,MHL,2007,9400.0,OC
4221,Marshall Islands,MHL,2008,9400.0,OC
4222,Marshall Islands,MHL,2009,9400.0,OC
4223,Marshall Islands,MHL,2010,9400.0,OC
4224,Marshall Islands,MHL,2011,9400.0,OC
4225,Marshall Islands,MHL,2012,9400.0,OC
4226,Marshall Islands,MHL,2013,9400.0,OC
4227,Marshall Islands,MHL,2014,9400.0,OC
4228,Marshall Islands,MHL,2015,9400.0,OC
4229,Marshall Islands,MHL,2016,9400.0,OC
4230,Marshall Islands,MHL,2017,9400.0,OC
4231,Marshall Islands,MHL,2018,9400.0,OC
4232,Marshall Islands,MHL,2019,9400.0,OC
4233,Marshall Islands,MHL,2020,9400.0,OC
4399,Micronesia,,2000,63860.0,OC
4400,Micronesia,,2001,63887.0,OC
4401,Micronesia,,2002,63913.99999999999,OC
4402,Micronesia,,2003,63941.0,OC
4403,Micronesia,,2004,63968.0,OC
4404,Micronesia,,2005,63995.0,OC
4405,Micronesia,,2006,64021.99999999999,OC
4406,Micronesia,,2007,64048.99999999999,OC
4407,Micronesia,,2008,64076.00000000001,OC
4408,Micronesia,,2009,64103.00000000001,OC
4409,Micronesia,,2010,64129.99999999999,OC
4410,Micronesia,,2011,64158.0,OC
4411,Micronesia,,2012,64186.00000000001,OC
4412,Micronesia,,2013,64214.0,OC
4413,Micronesia,,2014,64242.00000000001,OC
4414,Micronesia,,2015,64269.99999999999,OC
4415,Micronesia,,2016,64300.0,OC
4416,Micronesia,,2017,64330.0,OC
4417,Micronesia,,2018,64360.0,OC
4418,Micronesia,,2019,64390.0,OC
4419,Micronesia,,2020,64420.0,OC
4722,Nauru,NRU,2000,0.0,OC
4723,Nauru,NRU,2001,0.0,OC
4724,Nauru,NRU,2002,0.0,OC
4725,Nauru,NRU,2003,0.0,OC
4726,Nauru,NRU,2004,0.0,OC
4727,Nauru,NRU,2005,0.0,OC
4728,Nauru,NRU,2006,0.0,OC
4729,Nauru,NRU,2007,0.0,OC
4730,Nauru,NRU,2008,0.0,OC
4731,Nauru,NRU,2009,0.0,OC
4732,Nauru,NRU,2010,0.0,OC
4733,Nauru,NRU,2011,0.0,OC
4734,Nauru,NRU,2012,0.0,OC
4735,Nauru,NRU,2013,0.0,OC
4736,Nauru,NRU,2014,0.0,OC
4737,Nauru,NRU,2015,0.0,OC
4738,Nauru,NRU,2016,0.0,OC
4739,Nauru,NRU,2017,0.0,OC
4740,Nauru,NRU,2018,0.0,OC
4741,Nauru,NRU,2019,0.0,OC
4742,Nauru,NRU,2020,0.0,OC
4877,New Zealand,NZL,2000,9850440.0,OC
4878,New Zealand,NZL,2001,9850208.0,OC
4879,New Zealand,NZL,2002,9849976.0,OC
4880,New Zealand,NZL,2003,9849744.0,OC
4881,New Zealand,NZL,2004,9849511.999999998,OC
4882,New Zealand,NZL,2005,9849280.0,OC
4883,New Zealand,NZL,2006,9849048.0,OC
4884,New Zealand,NZL,2007,9848815.999999998,OC
4885,New Zealand,NZL,2008,9848584.0,OC
4886,New Zealand,NZL,2009,9848351.999999998,OC
4887,New Zealand,NZL,2010,9848120.0,OC
4888,New Zealand,NZL,2011,9847818.000000002,OC
4889,New Zealand,NZL,2012,9847516.0,OC
4890,New Zealand,NZL,2013,9847214.0,OC
4891,New Zealand,NZL,2014,9846912.0,OC
4892,New Zealand,NZL,2015,9846610.0,OC
4893,New Zealand,NZL,2016,9855806.0,OC
4894,New Zealand,NZL,2017,9865002.0,OC
4895,New Zealand,NZL,2018,9874198.0,OC
4896,New Zealand,NZL,2019,9883394.0,OC
4897,New Zealand,NZL,2020,9892590.0,OC
5369,Palau,PLW,2000,39580.0,OC
5370,Palau,PLW,2001,39678.00000000001,OC
5371,Palau,PLW,2002,39775.99999999999,OC
5372,Palau,PLW,2003,39874.0,OC
5373,Palau,PLW,2004,39972.0,OC
5374,Palau,PLW,2005,40070.0,OC
5375,Palau,PLW,2006,40168.0,OC
5376,Palau,PLW,2007,40266.0,OC
5377,Palau,PLW,2008,40364.00000000001,OC
5378,Palau,PLW,2009,40461.99999999999,OC
5379,Palau,PLW,2010,40560.0,OC
5380,Palau,PLW,2011,40646.0,OC
5381,Palau,PLW,2012,40732.0,OC
5382,Palau,PLW,2013,40818.00000000001,OC
5383,Palau,PLW,2014,40904.0,OC
5384,Palau,PLW,2015,40990.0,OC
5385,Palau,PLW,2016,41074.0,OC
5386,Palau,PLW,2017,41158.0,OC
5387,Palau,PLW,2018,41242.0,OC
5388,Palau,PLW,2019,41326.0,OC
5389,Palau,PLW,2020,41410.0,OC
5462,Papua New Guinea,PNG,2000,36277966.3,OC
5463,Papua New Guinea,PNG,2001,36268058.2,OC
5464,Papua New Guinea,PNG,2002,36258150.1,OC
5465,Papua New Guinea,PNG,2003,36248242.0,OC
5466,Papua New Guinea,PNG,2004,36238333.9,OC
5467,Papua New Guinea,PNG,2005,36228425.8,OC
5468,Papua New Guinea,PNG,2006,36218517.7,OC
5469,Papua New Guinea,PNG,2007,36208609.6,OC
5470,Papua New Guinea,PNG,2008,36198701.5,OC
5471,Papua New Guinea,PNG,2009,36188793.400000006,OC
5472,Papua New Guinea,PNG,2010,36178885.3,OC
5473,Papua New Guinea,PNG,2011,36147992.400000006,OC
5474,Papua New Guinea,PNG,2012,36117099.5,OC
5475,Papua New Guinea,PNG,2013,36086206.6,OC
5476,Papua New Guinea,PNG,2014,36055313.8,OC
5477,Papua New Guinea,PNG,2015,36024420.9,OC
5478,Papua New Guinea,PNG,2016,35990688.7,OC
5479,Papua New Guinea,PNG,2017,35956956.5,OC
5480,Papua New Guinea,PNG,2018,35923224.4,OC
5481,Papua New Guinea,PNG,2019,35889492.2,OC
5482,Papua New Guinea,PNG,2020,35855760.0,OC
5987,Samoa,WSM,2000,171310.0,OC
5988,Samoa,WSM,2001,170828.0,OC
5989,Samoa,WSM,2002,170345.99999999997,OC
5990,Samoa,WSM,2003,169864.0,OC
5991,Samoa,WSM,2004,169382.0,OC
5992,Samoa,WSM,2005,168900.0,OC
5993,Samoa,WSM,2006,168418.0,OC
5994,Samoa,WSM,2007,167935.99999999997,OC
5995,Samoa,WSM,2008,167454.0,OC
5996,Samoa,WSM,2009,166972.0,OC
5997,Samoa,WSM,2010,166490.0,OC
5998,Samoa,WSM,2011,166005.99999999997,OC
5999,Samoa,WSM,2012,165522.00000000003,OC
6000,Samoa,WSM,2013,165037.99999999997,OC
6001,Samoa,WSM,2014,164554.0,OC
6002,Samoa,WSM,2015,164070.0,OC
